detections_count = 14578, unique_truth_count = 13440
D:\YOLO_Base\darknet-master_V4\darknet-master\build\darknet\x64\results\Aps.txt
class_id = 0, name = Dunhill_gold_s, ap = 85.62%         (TP = 128, FP = 35)
class_id = 1, name = Dunhill_gold, ap = 100.00%          (TP = 128, FP = 0)
class_id = 2, name = Dunhill_blue, ap = 100.00%          (TP = 96, FP = 0)
class_id = 3, name = Dunhill_blue_s, ap = 0.00%          (TP = 0, FP = 0)
class_id = 4, name = Dunhill_gray, ap = 84.62%           (TP = 88, FP = 0)
class_id = 5, name = Dunhill_black, ap = 100.00%         (TP = 104, FP = 0)
class_id = 6, name = Dunhill_black_s, ap = 100.00%       (TP = 16, FP = 0)
class_id = 7, name = Dunhill_silver, ap = 83.96%         (TP = 80, FP = 18)
class_id = 8, name = Dunhill_white, ap = 100.00%         (TP = 112, FP = 0)
class_id = 9, name = Dunhill_Lb, ap = 100.00%            (TP = 16, FP = 0)
class_id = 10, name = Dunhill_Lb_s, ap = 100.00%         (TP = 16, FP = 0)
class_id = 11, name = Dunhill_w-thin, ap = 100.00%       (TP = 168, FP = 0)
class_id = 12, name = Dunhill_thin-bl, ap = 100.00%      (TP = 16, FP = 0)
class_id = 13, name = Pallmall_silver-w, ap = 100.00%            (TP = 88, FP = 0)
class_id = 14, name = Pallmall_25, ap = 99.34%           (TP = 502, FP = 2)
class_id = 15, name = Pallmall_bl-wh, ap = 100.00%       (TP = 104, FP = 0)
class_id = 16, name = Pallmall_red-wh, ap = 100.00%      (TP = 248, FP = 5)
class_id = 17, name = Pallmall_wh-red, ap = 98.29%       (TP = 291, FP = 16)
class_id = 18, name = Pallmall_wh-bl, ap = 100.00%       (TP = 448, FP = 13)
class_id = 19, name = Pallmall_bk_Lgre, ap = 100.00%     (TP = 72, FP = 0)
class_id = 20, name = Pallmall_bl-1, ap = 99.68%         (TP = 23, FP = 0)
class_id = 21, name = Pallmall_bl-9, ap = 78.73%         (TP = 32, FP = 0)
class_id = 22, name = Pallmall_bl-4, ap = 100.00%        (TP = 24, FP = 4)
class_id = 23, name = Pallmall_bl-7, ap = 100.00%        (TP = 32, FP = 0)
class_id = 24, name = Pallmall_white, ap = 69.90%        (TP = 273, FP = 55)
class_id = 25, name = Pallmall_bk-gre, ap = 100.00%      (TP = 40, FP = 0)
class_id = 26, name = Pallmall_red-wh_s, ap = 100.00%            (TP = 24, FP = 0)
class_id = 27, name = Pallmall_bl-wh_s, ap = 100.00%     (TP = 56, FP = 0)
class_id = 28, name = Pallmall_wh-g, ap = 70.83%         (TP = 153, FP = 35)
class_id = 29, name = Lucky_bk-p, ap = 98.73%            (TP = 288, FP = 22)
class_id = 30, name = Lucky_bk-p_s, ap = 100.00%         (TP = 216, FP = 14)
class_id = 31, name = Lucky_bk-6, ap = 100.00%           (TP = 160, FP = 0)
class_id = 32, name = Lucky_bl-6, ap = 100.00%           (TP = 8, FP = 0)
class_id = 33, name = Lucky_wh-bl, ap = 100.00%          (TP = 160, FP = 0)
class_id = 34, name = Lucky_wh-red, ap = 100.00%         (TP = 104, FP = 16)
class_id = 35, name = Lucky_white, ap = 100.00%          (TP = 24, FP = 0)
